lecture_no,question,option1,option2,option3,option4,correct_option
5,Which loop is commonly used when iterations are known?,for,while,if,switch,1
5,Which keyword immediately exits a loop?,break,continue,stop,exit,1
5,Which keyword skips current iteration?,continue,break,skip,next,1
5,Which loop syntax contains initialization condition and update together?,for,while,do-while,if,1
5,What happens in an infinite loop?,Runs forever,Stops automatically,Gives compile error,Deletes memory,1
5,Which symbol ends do-while condition?,Semicolon,Colon,Comma,Period,1
5,Which loop is entry-controlled?,while,do-while,both,None,1
5,Which loop is exit-controlled?,do-while,while,for,if,1
5,What is initialization in loops?,Starting value setup,Stopping loop,Creating objects,Printing output,1
5,What is iteration?,One repetition of loop body,Compilation process,Object creation,Input operation,1
5,Which loop component updates variable?,Increment/decrement,Condition,Object,Scanner,1
5,What is output of for(int i=0;i<3;i++) ?,3 iterations,2 iterations,Infinite loop,4 iterations,1
5,What does i++ mean?,Increase by 1,Decrease by 1,Multiply by 1,Reset value,1
5,Which operator decreases variable by one?,--,++,+=,*=,1
5,What happens if while condition is false initially?,Loop never runs,Runs once,Compile error,Infinite loop,1
5,Can loops be nested?,Yes,No,Only for loops,Only while loops,1
5,What is nested loop?,Loop inside another loop,Loop inside class,Class inside loop,Method inside object,1
5,Which loop is best for counting numbers?,for,if,switch,array,1
5,What is sentinel value?,Special value to stop loop,Starting value,Loop variable,Random value,1
5,What does break do inside nested loops?,Exits nearest loop,Exits all loops,Stops program,Restarts loop,1
5,What does continue do?,Skip remaining iteration code,End loop,Restart program,Delete variable,1
5,Which loop is suitable for menu programs?,while,if,array,class,1
5,Which loop can create multiplication tables easily?,for,if,switch,Scanner,1
5,What is output of while(false) ?,No execution,One execution,Infinite loop,Compile error,1
5,Which keyword controls decisions inside loops?,if,class,package,new,1
5,What is loop condition used for?,Determine continuation,Store variables,Compile code,Create objects,1
5,Which loop may not execute even once?,while,do-while,both,none,1
5,How many times does do-while run minimum?,1,0,2,Infinite,1
5,Which statement creates infinite while loop?,while(true),while(false),while(0),while(end),1
5,What is output of for(int i=1;i<=5;i++) ?,5 iterations,4 iterations,6 iterations,Infinite,1
5,Which loop part executes first in for loop?,Initialization,Condition,Update,Body,1
5,Which loop part executes after each iteration?,Update,Condition,Initialization,Compilation,1
5,Which loop part decides termination?,Condition,Update,Body,Variable,1
5,Can break be used in switch and loops?,Yes,No,Only loops,Only switch,1
5,What is output of continue in loop?,Skip iteration part,Stop all loops,Compile error,Reset loop,1
5,What is accumulator variable used for?,Store running totals,Stop loops,Compile code,Input values,1
5,What is counter variable used for?,Track iterations,Store objects,Compile programs,Read input,1
5,Which loop works best when user input controls termination?,while,for,switch,array,1
5,What is a common use of nested loops?,Patterns and tables,Compilation,Networking,Inheritance,1
5,What happens if update is missing in loop?,Possible infinite loop,Compile error,Stops immediately,Deletes variable,1
5,Which loop structure repeats until condition becomes false?,while,if,switch,class,1
5,Can loops contain if statements?,Yes,No,Only nested loops,Never,1
5,What is output of for(int i=0;i<0;i++) ?,No iteration,1 iteration,Infinite loop,Compile error,1
5,Which loop is easiest for traversing ranges?,for,switch,if,class,1
5,Which statement can terminate program manually inside loop?,break,System.exit(),continue,return,2
5,What is the purpose of repetition structures?,Repeat tasks,Create classes,Store files,Manage memory,1
5,What is the result of endless loop without break?,Infinite execution,Compilation error,Automatic stop,Crash always,1
5,Which chapter concept repeats statements multiple times?,Loops,Arrays,Classes,Objects,1
5,What is output of for(int i=1;i<=3;i++) ?,3 iterations,2 iterations,4 iterations,Infinite loop,1
5,Which loop is best when number of repetitions is unknown?,while,for,switch,array,1
5,What is output of do{ }while(false); ?,Runs once,Never runs,Compile error,Infinite loop,1
5,Which loop executes update expression automatically?,for,while,do-while,if,1
5,What happens if break executes inside loop?,Loop terminates,Loop restarts,Condition changes,Nothing,1
5,What happens after continue executes?,Next iteration begins,Loop ends,Program stops,Condition removed,1
5,Which loop structure can omit initialization section?,for,while,do-while,All of these,4
5,Which loop structure can omit update section?,for,while,do-while,All of these,4
5,Which loop structure can omit condition section creating infinite loop?,for,while,do-while,All of these,1
5,What is output of while(true){break;} ?,One iteration,Infinite loop,Compile error,No execution,1
5,Which variable usually changes each iteration?,Loop control variable,Object variable,Class variable,Package variable,1
5,What is loop body?,Statements repeated,Condition section,Variable declaration,Import statement,1
5,How many conditions exist in standard for loop?,1,2,3,4,1
5,Which loop is commonly used for arrays traversal?,for,switch,if,class,1
5,What is output of for(;;) ?,Infinite loop,Compile error,Zero iterations,One iteration,1
5,Can continue be used in nested loops?,Yes,No,Only while loops,Only for loops,1
5,What does nested loop complexity usually increase?,Execution time,Memory automatically,Compilation speed,None,1
5,Which loop is useful for validation until correct input?,while,if,switch,class,1
5,What is output of int i=0; while(i<3){i++;} ?,3 iterations,2 iterations,Infinite loop,1 iteration,1
5,Which loop is most suitable for fixed repetitions?,for,while,do-while,switch,1
5,Which statement skips only one iteration not entire loop?,continue,break,exit,stop,1
5,What is the main danger of infinite loops?,Program never stops,Compilation failure,Database corruption,Memory always zero,1
5,What is output of do-while with false condition initially?,Executes once,Never executes,Compile error,Infinite loop,1
5,What does i+=2 do in loop update?,Increase by 2,Decrease by 2,Multiply by 2,Reset value,1
5,Which operator commonly updates loop variable upward?,++,--,!=,==,1
5,Which operator commonly updates loop variable downward?,--,++,+=,*=,1
5,Which loop type checks condition first?,Entry-controlled,Exit-controlled,Recursive,None,1
5,Which loop type checks condition after execution?,Exit-controlled,Entry-controlled,Recursive,None,1
5,Can loops contain other loops and conditions?,Yes,No,Only loops,Never,1
5,What is output of for(int i=0;i<5;i+=2) ?,3 iterations,5 iterations,2 iterations,Infinite loop,1
5,Which loop statement is generally shortest syntax?,for,while,do-while,switch,1
5,What is purpose of loop variable initialization?,Set starting point,Stop loop,Create object,Compile code,1
5,What happens if condition never becomes false?,Infinite execution,Compilation error,Auto stop,No issue,1
5,Which loop is commonly used for menu repetition?,do-while,if,switch,array,1
5,What is output of continue inside nested loop?,Skips current iteration of nearest loop,Ends all loops,Compile error,Stops program,1
5,Which statement exits method completely?,return,continue,break,repeat,1
5,Which keyword helps leave loop early?,break,if,new,class,1
5,Which structure repeatedly executes code blocks?,Loops,Arrays,Packages,Objects,1
5,Can loop conditions use logical operators?,Yes,No,Only integers,Only booleans,1
5,What is output of while(i!=0) if i starts 0?,No iterations,Infinite loop,One iteration,Compile error,1
5,Which loop concept helps pattern printing?,Nested loops,Arrays,Classes,Packages,1
5,Which loop may be preferred when menu must appear at least once?,do-while,while,for,switch,1
5,What is loop termination condition?,Condition causing stop,Starting value,Object creation,Compilation stage,1
5,Which loop is generally easiest for counters?,for,switch,if,class,1
5,What happens when continue executes before update in while loop?,Risk of infinite loop,Stops loop,Compilation error,No effect,1
5,Which loop feature avoids repetitive code writing?,Iteration,Inheritance,Encapsulation,Polymorphism,1
5,What is the result of removing condition from while loop?,Compile error normally,Infinite loop always,One iteration,No execution,1
5,What is purpose of loops in programming?,Automate repetition,Create objects,Store classes,Import packages,1
5,Which chapter mainly teaches repetition structures?,Loops,Strings,Methods,Objects,1
5,Which loop concept is heavily used in algorithms?,Iteration,Compilation,Inheritance,Packaging,1
6,What is a method in Java?,Reusable block of code,Variable type,Loop structure,Package,1
6,Why are methods used?,Code reusability,Increase RAM,Create hardware,Store files,1
6,Which keyword indicates method returns nothing?,void,null,empty,return,1
6,Which method is entry point of Java program?,main(),start(),run(),execute(),1
6,What is method declaration?,Defining method structure,Calling method,Ending program,Importing package,1
6,What is method invocation?,Calling a method,Creating class,Declaring variable,Creating package,1
6,Which symbol is used after method name for parameters?,(),{},[],<>,1
6,What are parameters?,Variables in method definition,Output values,Objects only,Packages,1
6,What are arguments?,Values passed to method,Method names,Classes,Return values,1
6,Can methods return values?,Yes,No,Only void methods,Only constructors,1
6,Which keyword returns value from method?,return,give,output,break,1
6,What happens after return executes?,Method ends,Loop starts,Object created,Nothing,1
6,What is formal parameter?,Parameter in method declaration,Parameter during call,Loop variable,Object variable,1
6,What is actual parameter?,Argument passed during call,Method name,Return value,Loop counter,1
6,Can methods call other methods?,Yes,No,Only static methods,Only void methods,1
6,What is method signature?,Name plus parameters,Only method name,Return type only,Class name,1
6,Which feature allows same method name with different parameters?,Overloading,Overriding,Inheritance,Encapsulation,1
6,What is method overloading?,Multiple methods same name different parameters,Same method copied,Calling methods twice,Inheritance feature,1
6,Can overloaded methods differ only by return type?,No,Yes,Sometimes,Only static methods,1
6,Which access modifier allows use everywhere?,public,private,protected,default,1
6,Which keyword makes method belong to class not object?,static,void,new,class,1
6,Which method belongs to object instances?,Non-static method,Static method,Constructor only,Main method,1
6,What is local variable scope?,Inside method/block only,Whole class,Whole package,Global,1
6,Can local variables be used outside method?,No,Yes,Only public ones,Only static ones,1
6,What is variable scope?,Region where variable accessible,Variable size,Memory amount,Compiler rule,1
6,What happens if same variable name exists locally and globally?,Local hides global,Compile error,Program stops,Both merge,1
6,Which concept divides program into smaller tasks?,Modularization,Inheritance,Compilation,Casting,1
6,What type of parameter passing Java uses?,Pass by value,Pass by reference,Both,None,1
6,What happens when primitive passed to method?,Copy sent,Original changed directly,Deleted,Converted,1
6,What is return type of method returning integer?,int,void,double,char,1
6,Can void method use return without value?,Yes,No,Only static methods,Only overloaded methods,1
6,Which keyword creates object to call instance method?,new,class,create,method,1
6,Can static methods call instance variables directly?,No,Yes,Always,Sometimes,1
6,What is recursive method?,Method calling itself,Method calling object,Nested loop,Constructor,1
6,Why use recursion?,Solve repetitive problems,Increase RAM,Compile faster,Avoid methods,1
6,What is base case in recursion?,Stopping condition,Starting condition,Loop variable,Return type,1
6,Without base case recursion causes?,Infinite calls,Compile error,Auto stop,Nothing,1
6,Can methods return objects?,Yes,No,Only strings,Only arrays,1
6,What is benefit of methods?,Reduce repetition,Increase typing,Increase memory,Reduce compiler speed,1
6,Can methods have multiple parameters?,Yes,No,Maximum 2 only,Only static methods,1
6,Parameter order matters in method calls?,Yes,No,Only strings,Never,1
6,What is output of method call?,Depends on method,None always,Compile error,Loop,1
6,Can methods be overloaded with different parameter count?,Yes,No,Only same count,Never,1
6,Which method modifier prevents modification in subclasses?,final,static,void,public,1
6,Can constructors be overloaded?,Yes,No,Only one constructor allowed,Never,1
6,What is method body?,Statements inside method,Method name,Parameters only,Class name,1
6,Which chapter concept improves maintainability?,Methods,Loops,Strings,Arrays,1
6,What is cohesion in modular programming?,Related tasks together,Random methods,Large classes,More variables,1
6,What is coupling ideally in methods?,Low,High,None,Maximum,1
6,Methods mainly help make code?,Reusable and organized,Longer,Harder,Slower,1
6,What is method header composed of?,Return type name parameters,Only method name,Only parameters,Class name,1
6,Can methods exist outside classes in Java?,No,Yes,Only static methods,Sometimes,1
6,Which keyword allows one method to call another in same class?,No keyword needed,call,invoke,method,1
6,What is output of recursive method without stopping condition?,Stack overflow,Compile error,Normal termination,Auto fix,1
6,Which memory stores method calls?,Stack,Heap,ROM,Cache,1
6,What happens when method finishes execution?,Control returns to caller,Program stops,Object deleted,Memory resets,1
6,Can methods have zero parameters?,Yes,No,Only constructors,Never,1
6,Which type of method returns no value?,void method,int method,recursive method,overloaded method,1
6,Can method names be same with different parameter types?,Yes,No,Only static methods,Only constructors,1
6,Which method type belongs to objects?,Instance methods,Static methods,Main methods,Abstract methods,1
6,How are arguments matched to parameters?,By order and type,By memory,Alphabetically,Randomly,1
6,Which statement correctly calls method test()?,test();,call test();,run(test);,method test();,1
6,What is function of return statement?,Send value back,Create variable,Stop compiler,Declare method,1
6,Can a method return multiple values directly?,No,Yes,Only arrays,Never,1
6,What is parameter list separator?,Comma,Semicolon,Colon,Period,1
6,Can overloaded methods have different access modifiers?,Yes,No,Only public,Never,1
6,Which keyword stops recursion?,Base condition,break,stop,continue,1
6,What is recursion useful for?,Divide problems into smaller parts,Increase speed always,Replace loops entirely,Store variables,1
6,What happens when local variable not initialized?,Compilation error,Zero assigned,Null assigned,Ignored,1
6,Which variable lifetime lasts during method execution?,Local variable,Global variable,Static variable,Object variable,1
6,Can methods return boolean values?,Yes,No,Only integers,Only objects,1
6,Which return type should be used for true/false output?,boolean,int,double,char,1
6,Can methods accept arrays as parameters?,Yes,No,Only static methods,Only objects,1
6,Can methods return arrays?,Yes,No,Only strings,Only constructors,1
6,What is helper method?,Method supporting other methods,Constructor,Object,Package,1
6,What is utility of modular programming?,Smaller manageable code,More memory use,Longer classes,Fewer methods,1
6,Which keyword makes variable accessible inside whole class?,Instance variable,None,class,void,1
6,Can two methods have same name and same parameters?,No,Yes,Only private methods,Sometimes,1
6,Method overloading is resolved at?,Compile time,Runtime,Execution end,Loading time,1
6,Recursive methods consume what for each call?,Stack memory,Heap memory,ROM,None,1
6,What is direct recursion?,Method calls itself,Method calls another method,Loop recursion,Object recursion,1
6,What is indirect recursion?,Methods call each other,Method calls itself,Object loops,Constructor loops,1
6,Can constructors use this() call?,Yes,No,Only static constructors,Never,1
6,What is purpose of this keyword in methods?,Reference current object,Create loop,Stop recursion,Import package,1
6,Can static methods access static variables?,Yes,No,Sometimes,Only private ones,1
6,Can instance methods access static variables?,Yes,No,Never,Only constructors,1
6,What is scope of parameter variables?,Inside method only,Whole class,Whole package,Global,1
6,What happens if method call misses required parameter?,Compilation error,Ignored,Auto fill,Runtime fix,1
6,Can recursion replace loops in some problems?,Yes,No,Never,Only arrays,1
6,Which problem commonly uses recursion?,Factorial,Printing string,Variable declaration,Compilation,1
6,What is output of factorial recursion without base case?,Infinite recursion,Correct answer,Compile error,Null output,1
6,Which method type usually improves readability?,Small focused methods,Large methods,None,Only recursive,1
6,What is cohesion in methods?,Single responsibility,Many tasks together,Large classes,Long parameters,1
6,Methods improve debugging because code becomes?,Modular,Longer,Random,Hidden,1
6,What is best practice for method names?,Meaningful names,Single letters,Numbers only,Random names,1
6,Can methods belong to interfaces?,Yes,No,Only classes,Never,1
6,What is abstraction benefit of methods?,Hide complexity,Increase loops,Increase RAM,Reduce variables,1
6,Methods mainly support which programming idea?,Modularity,Networking,Compilation,Storage,1
6,Which chapter concept breaks program into reusable units?,Methods,Loops,Arrays,Strings,1
7,What is an array in Java?,Collection of same type elements,Single variable,Method type,Loop structure,1
7,Which symbol is used for array declaration?,[],(),{},<>,1
7,Which statement declares integer array?,int[] arr,int arr,char[] arr,double arr,1
7,Which keyword allocates memory for arrays?,new,class,array,create,1
7,Which statement creates array of size 5?,new int[5],int[5],array int[5],create int[5],1
7,Array indexing starts from?,0,1,-1,Depends on compiler,1
7,What is first index of array?,0,1,-1,Size-1,1
7,What is last index formula?,length-1,length,length+1,0,1
7,What happens if invalid index accessed?,Exception,Returns 0,Returns null,Ignored,1
7,Which exception occurs for invalid index?,ArrayIndexOutOfBoundsException,NullPointerException,IOException,ArithmeticException,1
7,Can arrays store duplicate values?,Yes,No,Only strings,Only integers,1
7,Can arrays store mixed data types?,No,Yes,Sometimes,Only objects,1
7,Which property gives array size?,length,size(),count(),getSize(),1
7,What is size of int[10] array?,10,9,11,0,1
7,Which loop commonly traverses arrays?,for,if,switch,class,1
7,What is traversing array?,Visiting elements one by one,Creating array,Deleting array,Sorting array,1
7,Which index accesses first element?,0,1,length,-1,1
7,Which index accesses second element?,1,2,0,length,1
7,Can arrays be initialized during declaration?,Yes,No,Only strings,Never,1
7,Which syntax initializes array directly?,{1,2,3},(1,2,3),[1,2,3],<1,2,3>,1
7,What is default int array value?,0,null,1,-1,1
7,What is default boolean array value?,false,true,null,0,1
7,What is default object array value?,null,0,false,blank,1
7,What is default char array value?,Unicode zero,A,false,null,1
7,Can array size change after creation?,No,Yes,Sometimes,Only strings,1
7,Which array type stores decimal values?,double[],char[],boolean[],String,1
7,Which array type stores text objects?,String[],char[],int[],double[],1
7,Can arrays contain objects?,Yes,No,Only primitives,Only strings,1
7,What is enhanced for loop also called?,for-each loop,while loop,nested loop,recursive loop,1
7,Which loop simplifies array traversal?,for-each,if,switch,class,1
7,Can array elements be modified?,Yes,No,Only objects,Never,1
7,What is array variable storing?,Reference address,Actual values only,Compiler info,Loop count,1
7,Which keyword creates array object?,new,class,create,array,1
7,What is output type of arr.length?,int,double,char,boolean,1
7,Which operation finds largest element?,Traversal,Compilation,Inheritance,Casting,1
7,Can arrays be passed to methods?,Yes,No,Only static methods,Never,1
7,How are arrays passed in Java?,Reference value copied,Direct memory,Pointer only,None,1
7,Can methods return arrays?,Yes,No,Only objects,Never,1
7,What is linear search used for?,Finding element,Sorting array,Deleting values,Compiling code,1
7,What is array element position called?,Index,Pointer,Object,Scope,1
7,Which loop best supports index access?,for,while only,switch,class,1
7,What happens if array reference is null?,NullPointerException,Compile error,Returns 0,Nothing,1
7,Can arrays be copied?,Yes,No,Only manually,Never,1
7,Which utility method copies arrays?,System.arraycopy(),copyArray(),cloneArray(),Array.copy(),1
7,What is command line argument storage type?,String[],char[],int[],double[],1
7,Which parameter stores command line arguments?,String[] args,int args,char args,array args,1
7,What is purpose of arrays?,Store multiple related values,Create methods,Replace loops,Compile programs,1
7,Arrays mainly improve?,Data organization,Network speed,RAM size,Compiler speed,1
7,Which chapter introduces grouped storage?,Arrays,Methods,Loops,Strings,1
7,Can arrays have zero size?,Yes,No,Only objects,Never,1
7,Which statement creates array with values immediately?,int[] a={1,2,3};,int a=(1,2,3);,array a=[1,2,3];,int a<1,2,3>;,1
7,What is output of array length for int[] arr=new int[8] ?,8,7,9,0,1
7,Which loop variable usually represents array index?,i,index only,array,loop,1
7,What is output of arr[0] for int[] arr={5,10,15} ?,5,10,15,0,1
7,What is output of arr[2] for int[] arr={5,10,15} ?,15,10,5,Error,1
7,What happens when accessing arr[5] in size 5 array?,Exception,Returns 0,Returns null,Ignored,1
7,Can arrays contain negative numbers?,Yes,No,Only integers,Never,1
7,Which traversal visits all elements?,Loop from 0 to length-1,Only first element,Random access,None,1
7,What is accumulator pattern in arrays?,Running total,Sorting only,Searching only,Copying only,1
7,What is purpose of counter variable in traversal?,Track occurrences,Store arrays,Compile code,Delete elements,1
7,Which algorithm checks each element sequentially?,Linear search,Binary search,Quick sort,Hashing,1
7,Binary search requires array to be?,Sorted,Unsorted,Empty,2D,1
7,Which method returns duplicate copy of array object?,clone(),copy(),duplicate(),replicate(),1
7,What is output of new int[3] default values?,0 0 0,null null null,1 1 1,Error,1
7,What is output of new boolean[2] defaults?,false false,true true,null null,Error,1
7,Can array references point to same array?,Yes,No,Only objects,Never,1
7,What happens when two references share same array?,Changes affect both,Separate copies created,Compile error,None,1
7,Which array operation finds smallest element?,Traversal,Compilation,Inheritance,Casting,1
7,How many dimensions does single-dimensional array have?,1,2,0,Unlimited,1
7,Can array size be user input?,Yes,No,Only constants,Never,1
7,What does arr.length return?,Number of elements,Last index,Memory size,Address,1
7,Which statement is valid enhanced for syntax?,for(int x:arr),for(arr:x),foreach(arr),loop(arr),1
7,Enhanced for loop provides direct access to?,Elements,Indexes only,Memory locations,None,1
7,Can enhanced for loop easily modify original elements?,No,Yes,Always,Only objects,1
7,What is copying array element by element called?,Manual copy,Cloning,Traversal,Recursion,1
7,Which utility class contains array helpers?,Arrays,ArrayUtils,System,Math,1
7,Which method sorts arrays?,Arrays.sort(),sortArray(),array.sort(),System.sort(),1
7,Which package contains Arrays class?,java.util,java.lang,java.io,java.net,1
7,Which method converts array to printable string?,Arrays.toString(),array.print(),printArray(),toArray(),1
7,What is output type of Arrays.toString()?,String,int,array,char,1
7,Can arrays be empty?,Yes,No,Only objects,Never,1
7,What is sparse array?,Mostly unused elements,Fully filled array,Sorted array,Character array,1
7,What is dense array?,Mostly filled array,Mostly empty array,2D array,Sorted array,1
7,Which operation inserts value at specific index manually?,Shift elements,Compile,Sort,Clone,1
7,Which operation removes value manually?,Shift elements left,Delete keyword,remove(),erase(),1
7,Can arrays shrink automatically?,No,Yes,Sometimes,Only strings,1
7,What is one disadvantage of arrays?,Fixed size,Slow access,No indexing,No loops,1
7,What is one advantage of arrays?,Fast indexed access,Dynamic size,No memory use,No declaration,1
7,Which chapter topic stores marks of 100 students efficiently?,Arrays,Methods,Loops,Strings,1
7,What is output of int[] a=new int[0]; a.length ?,0,1,Error,-1,1
7,Can arrays store null values?,Yes for references,No,Never,Only primitives,1
7,Which array type stores characters efficiently?,char[],String[],int[],boolean[],1
7,What is jagged array?,Arrays with varying inner sizes,Single array,Sorted array,Character array,1
7,Can String arrays store names?,Yes,No,Only characters,Never,1
7,What happens after array object loses references?,Eligible for garbage collection,Compile error,Infinite loop,Nothing,1
7,Which memory typically stores array objects?,Heap,Stack,ROM,Cache,1
7,Array processing usually requires what concept?,Loops,Inheritance,Networking,Packages,1
7,Which chapter concept helps manage many similar values?,Arrays,Methods,Exceptions,Classes,1
7,What is array initialization?,Assigning initial values,Deleting array,Sorting array,Compiling array,1
7,Which chapter mainly introduces indexed collections?,Single-Dimensional Arrays,Methods,Loops,Strings,1
8,What is a multidimensional array?,Array containing arrays,Single variable,Loop type,Method type,1
8,Which array is commonly called 2D array?,Matrix array,Character array,String array,Boolean array,1
8,Which syntax declares 2D integer array?,int[][] arr,int[] arr,int arr[][][],array int,1
8,Which keyword allocates multidimensional arrays?,new,class,array,create,1
8,How many indexes are needed for 2D arrays?,2,1,3,Unlimited,1
8,What does first index usually represent?,Row,Column,Value,Object,1
8,What does second index usually represent?,Column,Row,Array size,Method,1
8,Array int[3][4] contains how many rows?,3,4,7,12,1
8,Array int[3][4] contains how many columns?,4,3,12,7,1
8,Total elements in int[3][4] ?,12,7,3,4,1
8,What is first element index in 2D array?,[0][0],[1][1],[0][1],[1][0],1
8,Which loop structure commonly traverses 2D arrays?,Nested loops,Single if,Switch,Recursion only,1
8,Can multidimensional arrays be initialized directly?,Yes,No,Only objects,Never,1
8,Which syntax initializes 2D array values?,{{1,2},{3,4}},[1,2][3,4],(1,2)(3,4),<1,2>,1
8,Which property gives number of rows?,arr.length,arr.size(),arr.row(),arr.rows,1
8,Which property gives columns of row i?,arr[i].length,arr.length,arr.columns(),arr.size,1
8,Can rows have different sizes?,Yes,No,Only strings,Never,1
8,What is jagged array?,Rows with different lengths,Single row array,Sorted array,Character array,1
8,What exception occurs for invalid index?,ArrayIndexOutOfBoundsException,IOException,NullPointerException,ArithmeticException,1
8,What is default int value in multidimensional arrays?,0,null,1,-1,1
8,Can multidimensional arrays store objects?,Yes,No,Only primitives,Never,1
8,Which loop variable often represents row?,i,j,k,x,1
8,Which loop variable often represents column?,j,i,k,x,1
8,Which operation finds row sum?,Traverse columns of row,Sort array,Clone array,Compile array,1
8,Which operation finds column sum?,Traverse rows of column,Sort rows,Clone array,Compile,1
8,Which data structure resembles spreadsheet tables?,2D arrays,Methods,Strings,Loops,1
8,Can multidimensional arrays have more than 2 dimensions?,Yes,No,Maximum 2 only,Never,1
8,What is int[][][] called?,3D array,Jagged array,Single array,Object array,1
8,Which memory usually stores array objects?,Heap,Stack,ROM,Register,1
8,Can arrays be passed to methods?,Yes,No,Only 1D arrays,Never,1
8,Can methods return multidimensional arrays?,Yes,No,Only objects,Never,1
8,What is matrix traversal?,Visiting each element,System call,Compilation,Object creation,1
8,What is output rows for int[5][2] ?,5,2,10,7,1
8,What is output columns for int[5][2] ?,2,5,10,7,1
8,What is total elements in int[2][2] ?,4,2,8,1,1
8,What does arr[1][2] access?,Row 1 Column 2,Row 2 Column 1,Third row,Invalid always,1
8,Can nested loops process matrices?,Yes,No,Only recursion,Never,1
8,What is matrix addition based on?,Same dimensions,Different dimensions,Sorting,Strings,1
8,What is matrix multiplication dependent on?,Compatible dimensions,Equal rows only,Equal columns only,None,1
8,Which structure best models seating charts?,2D arrays,Strings,Methods,Classes,1
8,Can multidimensional arrays be sparse?,Yes,No,Only jagged,Never,1
8,What is sparse matrix?,Mostly zero values,Fully filled matrix,Character matrix,Sorted matrix,1
8,What is dense matrix?,Mostly filled values,Empty matrix,Sorted matrix,Character matrix,1
8,Which chapter introduces matrix operations?,Multidimensional Arrays,Methods,Loops,Strings,1
8,Can arrays inside arrays have different lengths?,Yes,No,Never,Only objects,1
8,Which array dimension increases complexity?,Higher dimensions,Lower dimensions,None,Strings,1
8,Which concept mainly supports matrix processing?,Nested loops,Inheritance,Packages,Interfaces,1
8,Can multidimensional arrays contain primitive types?,Yes,No,Only objects,Never,1
8,What is purpose of multidimensional arrays?,Store tabular data,Create loops,Compile programs,Manage packages,1
8,Which chapter expands arrays beyond single indexing?,Multidimensional Arrays,Methods,Loops,Classes,1
8,What does arr.length return in 2D arrays?,Number of rows,Number of columns,Total elements,Memory size,1
8,What does arr[0].length return?,Columns in first row,Rows count,Total elements,Memory address,1
8,What is output of int[][] a=new int[2][3]; a.length ?,2,3,6,0,1
8,What is output of int[][] a=new int[2][3]; a[0].length ?,3,2,6,0,1
8,Which nested loop usually controls rows?,Outer loop,Inner loop,Both equally,None,1
8,Which nested loop usually controls columns?,Inner loop,Outer loop,None,Both equally,1
8,What is row-major traversal?,Process row by row,Column by column,Random order,Diagonal only,1
8,What is column-major traversal?,Process column by column,Row by row,Diagonal only,Random order,1
8,What is output of arr[0][1] in {{1,2},{3,4}} ?,2,1,3,4,1
8,What is output of arr[1][0] in {{1,2},{3,4}} ?,3,2,1,4,1
8,Can multidimensional arrays be cloned?,Yes,No,Only jagged arrays,Never,1
8,What happens if row index exceeds limit?,Exception,Returns 0,Returns null,Ignored,1
8,What happens if column index exceeds limit?,Exception,Returns 0,Returns null,Ignored,1
8,Which algorithm operation is common on matrices?,Transpose,Hashing,Inheritance,Compilation,1
8,What is matrix transpose?,Swap rows and columns,Reverse rows only,Delete columns,Sort matrix,1
8,For square matrix transpose size remains?,Same,Double,Half,Zero,1
8,Which matrix has same rows and columns?,Square matrix,Jagged matrix,Sparse matrix,Rectangular matrix,1
8,What is rectangular matrix?,Rows and columns differ,Rows equal columns,One row only,One column only,1
8,Which matrix contains one row?,Row matrix,Column matrix,Square matrix,Sparse matrix,1
8,Which matrix contains one column?,Column matrix,Row matrix,Dense matrix,Square matrix,1
8,Which matrix diagonal elements have same row and column index?,Main diagonal,Secondary diagonal,Random elements,Outer elements,1
8,What are diagonal indexes in matrix?,i==j,i>j,i<j,i+j,1
8,What operation requires nested loops over rows and columns?,Matrix printing,Variable declaration,Compilation,Casting,1
8,Can each row in jagged array have unique length?,Yes,No,Never,Only strings,1
8,Which syntax creates jagged array rows manually?,Assign each row separately,Single declaration only,Impossible,Only loops,1
8,What is memory usage of larger dimensions?,Higher,Lower,Same,None,1
8,Can 2D arrays represent game boards?,Yes,No,Only strings,Never,1
8,Can 2D arrays represent images?,Yes,No,Only objects,Never,1
8,Which operation counts all elements?,Nested traversal,Single loop,if statement,Method call,1
8,How many loops are generally needed for full 2D traversal?,2 nested loops,1 loop,3 loops,None,1
8,Can multidimensional arrays contain null rows?,Yes,No,Never,Only objects,1
8,What happens if accessing null row array?,NullPointerException,Compile error,Returns 0,Ignored,1
8,What is output total elements for int[4][5] ?,20,9,4,5,1
8,Which operation compares matrix dimensions?,Rows and columns check,Sorting,Searching,Compilation,1
8,What is purpose of arr[i][j] notation?,Access specific element,Create method,Compile matrix,Delete element,1
8,Can matrices be filled using Scanner input?,Yes,No,Only files,Never,1
8,Which chapter concept models tables and grids?,Multidimensional Arrays,Methods,Strings,Loops,1
8,Which dimension changes while traversing row?,Column index,Row index,Both,None,1
8,Which dimension changes while traversing column?,Row index,Column index,None,Both,1
8,Can enhanced for loops traverse 2D arrays?,Yes,No,Only 1D arrays,Never,1
8,What is one drawback of multidimensional arrays?,More complexity,No indexing,No loops,No memory use,1
8,Which matrix operation adds corresponding elements?,Matrix addition,Transpose,Multiplication,Search,1
8,What is requirement for matrix addition?,Equal dimensions,Equal rows only,Equal columns only,None,1
8,Which operation often uses triple nested loops?,Matrix multiplication,Sorting,Searching,Printing,1
